window_id,session_id,num_frames,posture_shoulder_tilt_mean,posture_shoulder_tilt_std,posture_body_lean_mean,posture_body_lean_std,posture_head_height_mean,posture_head_height_std,posture_torso_height_mean,posture_torso_height_std,hands_left_height_mean,hands_right_height_mean,hands_spread_mean,hands_spread_std,hands_left_movement_mean,hands_right_movement_mean,hands_left_visible_ratio,hands_right_visible_ratio,sway_x_std,sway_y_std,sway_crossing_count,movement_path_length,movement_net_displacement,movement_displacement_ratio,posture_label,hands_label,sway_label,movement_label
32,0,90,0.0007725632852978127,0.0032912690001105126,0.4874238957334078,0.12410562447907186,0.16880725108914904,0.0011741370013562788,0.37330917533901004,0.0013682897754124994,0.2783855146831936,0.27583906683656906,0.09524966125494914,0.004264031140064167,0.0008286181780806153,0.0011970626951412775,0.0,0.0,0.0004969107283804562,0.0023881167038183977,4,0.0285254256887415,0.002304907721944022,0.08079903690330534,low,low,low,low
33,0,90,0.0030693269438213803,0.0008346079985829231,0.3255304214793149,0.13220378845133904,0.17039026849799685,0.0008336456216253432,0.37349230067597494,0.0024599626714581014,0.2900946905215581,0.29767217768563164,0.09576514509131324,0.0029762303958903954,0.0002764696157311334,0.0004835583398288736,0.0,0.0,0.0005048348665259535,0.0025145137720066417,1,0.01827796013908316,0.005408068060589084,0.29586300421027906,low,low,low,low
34,0,90,0.005951718820465936,0.0019821562621753597,0.4201597742071166,0.15592111870562084,0.1686845514509413,0.0005844311953912267,0.37321606328090035,0.001010209510239711,0.28579525649547577,0.2940806746482849,0.10003687238811557,0.002106669169268839,0.00021651270685539906,0.00031448796947487143,0.0,0.0,0.000582766192256397,0.0018353511890881649,1,0.011105220762834135,0.004307558440492891,0.3878509650112221,low,low,low,low
35,0,90,0.004288382662667168,0.0008167782542171864,0.41807580653321835,0.03818245937603381,0.1696329630083508,0.001972130130886716,0.3745761318339242,0.00042351529397475905,0.2890414966477288,0.2916705985864004,0.10383114333259716,0.00216609560804102,0.00023184106865005064,0.0004143740786413108,0.0,0.0,0.0003697003925544522,0.0007451948071448873,1,0.01050092754181808,0.001844321790745472,0.17561745531013115,low,low,low,low
36,0,90,0.006830191943380563,0.0003896521080916959,0.3582308390639938,0.043040133992380755,0.16981553700235155,0.0009454410043625126,0.3724903909696473,0.0013170181755154913,0.28883890906969706,0.29913024140728844,0.10645574314100899,0.0007740371848328649,0.00017116203312365842,0.0001953563333091754,0.0,0.0,0.0002832453352200845,0.0011575020704950977,2,0.012963132017034857,0.00200085987137699,0.15433812836431024,low,low,low,low
37,0,90,0.008849038018120663,0.0016716085878563085,0.4173348929948917,0.06581510390465095,0.15575374447637133,0.01016870823532346,0.3723012304968304,0.0014504620235904619,0.284676021999783,0.2987669825553894,0.10768463643758827,0.002388362443694883,0.000501501427950942,0.0005098441142244149,0.0,0.0,0.0005399076562935586,0.000948377202218729,1,0.015518012214501678,0.0041798442452043475,0.2693370033756729,low,low,low,low
38,0,90,0.005265458093749151,0.0018022848896097445,0.13767456893124594,0.16764944280604296,0.15364802165163888,0.007189077441860932,0.3781088340613577,0.0032871022765655466,0.275127555264367,0.2786602215634452,0.10234306611753016,0.00829471323520192,0.0028193423064771183,0.0021225822200897854,0.0,0.0,0.0009162375111751743,0.0037382313523587423,2,0.03614304949577549,0.009329320454992261,0.25811497563610497,low,low,low,low
39,0,90,0.004232761926121182,0.002315260087152834,0.4707585684720926,0.1932285493309753,0.16382420890861088,0.0024365801308767645,0.38294300585985186,0.0020114395156329954,0.2840111434459686,0.2837857163614697,0.1114940507341481,0.009196801223730901,0.002641791515838075,0.0030097574178723453,0.0,0.0,0.0015332485443599005,0.0018803172549161993,1,0.032086543092988945,0.0034939538914241525,0.10888817137849277,low,low,low,low
40,0,90,0.005400371551513667,0.0019775876804108933,0.55019394822279,0.18133740227724102,0.1638526568810145,0.0032550489289181663,0.384317652715577,0.0021426406908450755,0.29116341372330984,0.28398281302717,0.1060135072417928,0.0048905060247274295,0.0004605422711314531,0.0014062865320655451,0.0,0.0,0.0009684577074231615,0.0038745112415401973,3,0.02894585946194378,0.004076394460427341,0.14082337553013466,low,low,low,low
41,0,90,0.00421008202764723,0.0018699940547295278,0.21267333598244495,0.17370162256811694,0.1608139650689231,0.0012451196701802642,0.38133299814330207,0.003652855523583825,0.2930656174818675,0.29656605786747403,0.11170891861931147,0.002719611184025229,0.0005398853696630479,0.0005570014928741578,0.0,0.0,0.0010760782704397592,0.004857383803482953,2,0.03210653621574293,0.0004516868935802683,0.014067940017110304,low,low,low,low
